species,longitude,latitude
Phyllotis osilae,-70.08491,-15.10248
Akodon boliviensis,-70.15,-15.93356
Abrothrix jelskii,-69.93333,-15.03333
Diphylla ecaudata,-69.67201,-13.90419
Glossophaga soricina,-71.72195,-17.07083
Phyllotis xanthopygus,-70.15,-15.93356
Neacomys spinosus,-69.67201,-13.90419
Akodon boliviensis,-70.08491,-15.10248
Phyllotis magister,-71.37004,-16.4
Akodon albiventer,-69.93333,-15.03333
Phyllotis osilae,-70.15,-15.93356
Nephelomys keaysi,-69.68889,-14.06101
Lenoxus apicalis,-69.68889,-14.06101
Necromys amoenus,-69.93333,-15.03333
Mus musculus,-70.15,-15.93356
Akodon aerosus,-69.68889,-14.06101
Phyllotis xanthopygus,-71.72195,-17.07083
Phyllotis xanthopygus,-70.08491,-15.10248
Auliscomys pictus,-69.93333,-15.03333
Cuniculus paca,-69.67201,-13.90419
Philander opossum,-79.65,9.16667
Auliscomys pictus,-70.08491,-15.10248
Auliscomys pictus,-70.16497,-15.53067
Phyllotis xanthopygus,-70.16497,-15.53067
Phyllostomus hastatus,-79.65,9.16667
Noctilio albiventris,-79.65,9.16667
Uroderma bilobatum,-79.65,9.06667
Galea musteloides,-70.18606,-15.55112
Molossus bondae,-79.65,9.16667
Uroderma bilobatum,-79.65,9.16667
Abrothrix andinus,-68.33333,-21.96667
Carollia perspicillata,-79.65,9.16667
Phyllotis xanthopygus,-68.18333,-22.26667
Mus musculus,-71.72195,-17.07083
Phyllotis xanthopygus,-69.41667,-19.0
Phyllotis xanthopygus,-69.76147,-17.02108
Galea musteloides,-70.15,-15.93356
Eligmodontia puerulus,-68.33333,-21.96667
Abrocoma cinerea,-68.18333,-22.26667
Akodon albiventer,-69.94757,-17.39266
Akodon albiventer,-69.41667,-19.0
Phyllotis xanthopygus,-69.97952,-17.42333
Abrothrix jelskii,-69.76147,-17.02108
Auliscomys sublimis,-69.76147,-17.02108
Eligmodontia puerulus,-68.18333,-22.26667
Calomys lepidus,-68.33333,-21.96667
Phyllotis xanthopygus,-68.33333,-21.96667
Cuniculus paca,-79.53333,8.96667
Auliscomys sublimis,-68.18333,-22.26667
Philander opossum,-79.53333,8.96667
Ctenomys fulvus,-68.18333,-22.26667
Alouatta palliata,-79.91667,9.26667
Phyllotis xanthopygus,-68.05,-22.36667
Lontra provocax,-79.53333,8.96667
Bradypus variegatus,-79.65,9.16667
Abrocoma cinerea,-68.33333,-21.96667
Hydrochoerus hydrochaeris,-78.4375,8.47833
Procyon lotor,-79.53333,8.96667
Bradypus variegatus,-79.53333,8.96667
Sphiggurus mexicanus,-79.53333,8.96667
Caluromys derbianus,-79.53333,8.96667
Nasua narica,-79.53333,8.96667
Choloepus hoffmanni,-79.53333,8.96667
Thylamys elegans,-71.66667,-30.66667
Abrothrix longipilis,-71.66667,-30.66667
Abrothrix olivaceus,-71.66667,-30.66667
Octodon degus,-71.66667,-30.66667
Phyllotis darwini,-70.75,-28.56667
Abrocoma bennettii,-71.66667,-30.66667
Phyllotis darwini,-71.66667,-30.66667
Spalacopus cyanus,-71.39067,-32.3166
Oligoryzomys longicaudatus,-71.66667,-30.66667
Saccopteryx bilineata,-79.67929,9.13724
